id,longitude,latitude
11144,87.5189761594,43.7384820686
11145,87.5201671376,43.7388817344
11146,87.5213621081,43.7392691773
11147,87.5225601866,43.7396469374
11148,87.5237737439,43.7399698571
11149,87.5250075732,43.7402031383
1115,87.364633745,43.860571042
11150,87.5262482582,43.7404000306
11151,87.5274906963,43.7405857981
11152,87.528738464,43.7407304235
11153,87.5299902429,43.7408282874
11154,87.5312452297,43.7408845892
11155,87.5377347285,43.7422402944
11156,87.5388917379,43.7427296255
11157,87.5400446158,43.7432286591
11158,87.5411982045,43.7437259615
11159,87.5423728666,43.7441703188
1116,87.3660756354,43.8604138975
11160,87.5435957143,43.7444345326
11161,87.5448481555,43.7444821669
